,year,count,milestone,race_ethnicity,sentiment,ratio
97,1987,2,-1,black,-1,0.08
98,1987,1,-1,hispan,-1,0.04
99,1988,24,-1,white,-1,0.96
100,1988,1,-1,black,-1,0.04
101,1989,22,-1,white,-1,0.88
102,1989,2,-1,black,-1,0.08
103,1989,1,-1,arab,-1,0.04
104,1990,23,-1,white,-1,0.92
105,1990,1,-1,black,-1,0.04
106,1990,1,-1,hispan,-1,0.04
107,1991,23,-1,white,-1,0.92
108,1991,1,-1,black,-1,0.04
109,1991,1,-1,asian,-1,0.04
110,1992,23,"Los Angeles riots, 1992",white,Protest,0.92
111,1992,2,"Los Angeles riots, 1992",black,Protest,0.08
112,1993,22,-1,white,-1,0.88
113,1993,2,-1,black,-1,0.08
114,1993,1,-1,hispan,-1,0.04
115,1994,22,-1,white,-1,0.88
116,1994,2,-1,black,-1,0.08
117,1994,1,-1,asian,-1,0.04
118,1995,25,"Million Man March, 1995",white,Acceptance,1.0
119,1996,23,-1,white,-1,0.92
120,1996,2,-1,black,-1,0.08
121,1997,24,-1,white,-1,0.96
122,1997,1,-1,arab,-1,0.04
123,1998,24,-1,white,-1,0.96
124,1998,1,-1,hispan,-1,0.04
125,1999,22,-1,white,-1,0.88
126,1999,2,-1,black,-1,0.08
127,1999,1,-1,asian,-1,0.04
128,2000,23,-1,white,-1,0.92
129,2000,2,-1,asian,-1,0.08
130,2001,21,"Colin Powell becomes secretary of state, 2001",white,Acceptance,0.84
131,2001,3,"Colin Powell becomes secretary of state, 2001",black,Acceptance,0.12
132,2001,1,"Colin Powell becomes secretary of state, 2001",asian,Acceptance,0.04
133,2002,23,-1,white,-1,0.92
134,2002,1,-1,black,-1,0.04
135,2002,1,-1,hispan,-1,0.04
136,2003,20,-1,white,-1,0.8
137,2003,1,-1,black,-1,0.04
138,2003,2,-1,asian,-1,0.08
139,2003,1,-1,hispan,-1,0.04
140,2003,1,-1,arab,-1,0.04
141,2004,19,-1,white,-1,0.76
142,2004,5,-1,black,-1,0.2
143,2004,1,-1,hispan,-1,0.04
144,2005,23,-1,white,-1,0.92
145,2005,1,-1,black,-1,0.04
146,2005,1,-1,asian,-1,0.04
147,2006,18,-1,white,-1,0.72
148,2006,5,-1,black,-1,0.2
149,2006,1,-1,asian,-1,0.04
150,2006,1,-1,hispan,-1,0.04
151,2007,24,-1,white,-1,0.96
152,2007,1,-1,black,-1,0.04
153,2008,23,"Barack Obama becomes 44th U.S. president, 2008",white,Acceptance,0.92
154,2008,2,"Barack Obama becomes 44th U.S. president, 2008",black,Acceptance,0.08
155,2009,21,-1,white,-1,0.84
156,2009,4,-1,black,-1,0.16
157,2010,25,-1,white,-1,1.0
158,2011,21,-1,white,-1,0.84
159,2011,3,-1,black,-1,0.12
160,2011,1,-1,hispan,-1,0.04
161,2012,22,-1,white,-1,0.88
162,2012,2,-1,black,-1,0.08
163,2012,1,-1,asian,-1,0.04
164,2013,22,-1,white,-1,0.88
165,2013,3,-1,black,-1,0.12
166,2014,25,-1,white,-1,1.0
167,2015,25,-1,white,-1,1.0
