year,count,milestone,race_ethnicity,sentiment
1972,22,"Shirley Chisholm runs for president, 1972",white,Acceptance
1972,3,"Shirley Chisholm runs for president, 1972",black,Acceptance
1973,25,-1,white,-1
1974,24,-1,white,-1
1974,1,-1,black,-1
1975,24,-1,white,-1
1975,1,-1,arab,-1
1976,25,-1,white,-1
1977,25,-1,white,-1
1978,26,"The Bakke decision and affirmative action, 1978",white,Protest
1979,25,-1,white,-1
1980,25,-1,white,-1
1981,24,-1,white,-1
1981,1,-1,black,-1
1982,23,-1,white,-1
1982,1,-1,black,-1
1982,1,-1,asian,-1
1983,24,-1,white,-1
1983,1,-1,black,-1
1984,22,"Jesse Jackson galvanizes black voters, 1984",white,Acceptance
1984,1,"Jesse Jackson galvanizes black voters, 1984",black,Acceptance
1984,2,"Jesse Jackson galvanizes black voters, 1984",asian,Acceptance
1985,19,-1,white,-1
1985,3,-1,black,-1
1985,2,-1,asian,-1
1985,1,-1,hispan,-1
1986,24,"Oprah Winfrey launches syndicated talk show, 1986",white,Acceptance
1986,1,"Oprah Winfrey launches syndicated talk show, 1986",black,Acceptance
1987,22,-1,white,-1
1987,2,-1,black,-1
1987,1,-1,hispan,-1
1988,24,-1,white,-1
1988,1,-1,black,-1
1989,22,-1,white,-1
1989,2,-1,black,-1
1989,1,-1,arab,-1
1990,23,-1,white,-1
1990,1,-1,black,-1
1990,1,-1,hispan,-1
1991,23,-1,white,-1
1991,1,-1,black,-1
1991,1,-1,asian,-1
1992,23,"Los Angeles riots, 1992",white,Protest
1992,2,"Los Angeles riots, 1992",black,Protest
1993,22,-1,white,-1
1993,2,-1,black,-1
1993,1,-1,hispan,-1
1994,22,-1,white,-1
1994,2,-1,black,-1
1994,1,-1,asian,-1
1995,25,"Million Man March, 1995",white,Acceptance
1996,23,-1,white,-1
1996,2,-1,black,-1
1997,24,-1,white,-1
1997,1,-1,arab,-1
1998,24,-1,white,-1
1998,1,-1,hispan,-1
1999,22,-1,white,-1
1999,2,-1,black,-1
1999,1,-1,asian,-1
2000,23,-1,white,-1
2000,2,-1,asian,-1
2001,21,"Colin Powell becomes secretary of state, 2001",white,Acceptance
2001,3,"Colin Powell becomes secretary of state, 2001",black,Acceptance
2001,1,"Colin Powell becomes secretary of state, 2001",asian,Acceptance
2002,23,-1,white,-1
2002,1,-1,black,-1
2002,1,-1,hispan,-1
2003,20,-1,white,-1
2003,1,-1,black,-1
2003,2,-1,asian,-1
2003,1,-1,hispan,-1
2003,1,-1,arab,-1
2004,19,-1,white,-1
2004,5,-1,black,-1
2004,1,-1,hispan,-1
2005,23,-1,white,-1
2005,1,-1,black,-1
2005,1,-1,asian,-1
2006,18,-1,white,-1
2006,5,-1,black,-1
2006,1,-1,asian,-1
2006,1,-1,hispan,-1
2007,24,-1,white,-1
2007,1,-1,black,-1
2008,23,"Barack Obama becomes 44th U.S. president, 2008",white,Acceptance
2008,2,"Barack Obama becomes 44th U.S. president, 2008",black,Acceptance
2009,21,-1,white,-1
2009,4,-1,black,-1
2010,25,-1,white,-1
2011,21,-1,white,-1
2011,3,-1,black,-1
2011,1,-1,hispan,-1
2012,22,-1,white,-1
2012,2,-1,black,-1
2012,1,-1,asian,-1
2013,22,-1,white,-1
2013,3,-1,black,-1
2014,25,-1,white,-1
2015,25,-1,white,-1
