award,film,orientation,person,status,year
Best Picture,Toy Story 3,Lesbian,Darla K. Anderson,Nominated,2010
Best Picture,The King's Speech,Gay,Iain Canning,Won,2010
Best Picture,True Grit,Gay,Scott Rudin,Nominated,2010
Best Sound Mixing,Inception,Lesbian,Lora Hirschberg,Won,2010
Best Animated Feature,How to Train Your Dragon,Gay,Dean DeBlois,Nominated,2010
Best Original Screenplay,The Kids Are All Right,Lesbian,Lisa Cholodenko,Nominated,2010
Best Makeup and Hairstyling,The Iron Lady,Gay,J. Roy Helland,Won,2011
Best Adapted Screenplay,Hugo,Gay,John Logan,Nominated,2011
Best Picture,Extremely Loud & Incredibly Close,Gay,Scott Rudin,Nominated,2011
Best Makeup and Hairstyling,Albert Nobbs,Gay,Matthew W. Mungle,Nominated,2011
Best Makeup and Hairstyling,The Hobbit: An Unexpected Journey,Lesbian,Tami Lane,Nominated,2012
Best Picture,Zero Dark Thirty,Lesbian,Megan Ellison,Nominated,2012
Best Picture,Silver Linings Playbook,Gay,Bruce Cohen,Nominated,2012
Best Adapted Screenplay,Lincoln,Gay,Tony Kushner,Nominated,2012
Best Adapted Screenplay,The Descendants,Gay,Jim Rash,Won,2012
Best Picture,Les Misérables,Gay,Cameron Mackintosh,Nominated,2012
Best Picture,Her,Lesbian,Megan Ellison,Nominated,2013
Best Picture,American Hustle,Lesbian,Megan Ellison,Nominated,2013
Best Picture,Captain Phillips,Gay,Scott Rudin,Nominated,2013
Best Picture,The Grand Budapest Hotel,Gay,Scott Rudin,Nominated,2014
Best Animated Feature,How to Train Your Dragon 2,Gay,Dean DeBlois,Nominated,2014
Best Original Screenplay,Straight Outta Compton,Gay,Jonathan Herman,Nominated,2015
Best Adapted Screenplay,Room,Lesbian,Emma Donoghue,Nominated,2015
Best Adapted Screenplay,Carol,Lesbian,Phyllis Nagy,Nominated,2015
Original Song Score or Adaptation,The Hunting Ground,Bisexual,Lady Gaga,Nominated,2015
Original Song Score or Adaptation,Spectre,Gay,Sam Smith,Won,2015
Original Song Score or Adaptation,Racing Extinction,Transgender,Anohni,Nominated,2015
Best Picture,Fences,Gay,Scott Rudin,Nominated,2016
Best Adapted Screenplay,Moonlight,Gay,Tarell Alvin McCraney,Won,2016
Best Animated Feature,Zootopia,Gay,Byron Howard,Won,2016
Original Song Score or Adaptation,La La Land,Gay,Benj Pasek,Nominated,2016
Original Song Score or Adaptation,La La Land,Gay,Benj Pasek,Won,2016
Best Picture,Lion,Gay,Iain Canning,Nominated,2016
Best Cinematography,Mudbound,Lesbian,Rachel Morrison,Nominated,2017
"Best Film Editing,""I, Tonya"",Lesbian,Tatiana S. Riegel,Nominated,2017"
Best Picture,Call Me by Your Name,Gay,Luca Guadagnino,Nominated,2017
Best Animated Feature,Coco,Lesbian,Darla K. Anderson,Won,2017
Original Song Score or Adaptation,The Greatest Showman,Gay,Benj Pasek,Nominated,2017
Best Picture,Lady Bird,Gay,Scott Rudin,Nominated,2017
Best Adapted Screenplay,Call Me by Your Name,Gay,James Ivory,Won,2017
Best Adapted Screenplay,Mudbound,Lesbian,Dee Rees,Nominated,2017
Best Picture,Phantom Thread,Lesbian,Megan Ellison,Nominated,2017
Best Picture,Call Me by Your Name,Gay,Peter Spears,Nominated,2017
Original Song Score or Adaptation,A Star Is Born,Bisexual,Lady Gaga,Won,2018
Best Adapted Screenplay,Can You Ever Forgive Me?,Gay,Jeff Whitty,Nominated,2018
Best Actress in a Leading Role,A Star Is Born,Bisexual,Lady Gaga,Nominated,2018
Original Song Score or Adaptation,Mary Poppins Returns,Gay,Scott Wittman,Nominated,2018
Original Song Score or Adaptation,Mary Poppins Returns,Gay,Marc Shaiman,Nominated,2018
Best Film Editing,Bohemian Rhapsody,Gay,John Ottman,Won,2018
Best Animated Feature,Isle of Dogs,Gay,Scott Rudin,Nominated,2018
