year,orientation,winner,ratio,party
1938,Bisexual,0,0,Democratic
1938,Bisexual,1,0,Democratic
1938,Gay,0,0,Democratic
1938,Gay,1,0,Democratic
1938,Lesbian,0,5.0,Democratic
1938,Lesbian,1,0,Democratic
1938,Straight,0,95.0,Democratic
1938,Straight,1,100.0,Democratic
1939,Bisexual,0,5.0,Democratic
1939,Bisexual,1,0,Democratic
1939,Gay,0,0,Democratic
1939,Gay,1,0,Democratic
1939,Lesbian,0,0,Democratic
1939,Lesbian,1,0,Democratic
1939,Straight,0,95.0,Democratic
1939,Straight,1,100.0,Democratic
1940,Bisexual,0,0,Democratic
1940,Bisexual,1,0,Democratic
1940,Gay,0,5.0,Democratic
1940,Gay,1,0,Democratic
1940,Lesbian,0,0,Democratic
1940,Lesbian,1,0,Democratic
1940,Straight,0,95.0,Democratic
1940,Straight,1,100.0,Democratic
1941,Bisexual,0,0,Democratic
1941,Bisexual,1,0,Democratic
1941,Gay,0,0,Democratic
1941,Gay,1,0,Democratic
1941,Lesbian,0,0,Democratic
1941,Lesbian,1,0,Democratic
1941,Straight,0,100.0,Democratic
1941,Straight,1,100.0,Democratic
1942,Bisexual,0,0,Democratic
1942,Bisexual,1,0,Democratic
1942,Gay,0,5.0,Democratic
1942,Gay,1,0,Democratic
1942,Lesbian,0,0,Democratic
1942,Lesbian,1,0,Democratic
1942,Straight,0,95.0,Democratic
1942,Straight,1,100.0,Democratic
1943,Bisexual,0,0,Democratic
1943,Bisexual,1,0,Democratic
1943,Gay,0,0,Democratic
1943,Gay,1,0,Democratic
1943,Lesbian,0,0,Democratic
1943,Lesbian,1,0,Democratic
1943,Straight,0,100.0,Democratic
1943,Straight,1,100.0,Democratic
1944,Bisexual,0,0,Democratic
1944,Bisexual,1,0,Democratic
1944,Gay,0,10.0,Democratic
1944,Gay,1,0,Democratic
1944,Lesbian,0,0,Democratic
1944,Lesbian,1,0,Democratic
1944,Straight,0,90.0,Democratic
1944,Straight,1,100.0,Democratic
1945,Bisexual,0,0,Democratic
1945,Bisexual,1,0,Democratic
1945,Gay,0,0,Democratic
1945,Gay,1,0,Democratic
1945,Lesbian,0,0,Democratic
1945,Lesbian,1,0,Democratic
1945,Straight,0,100.0,Democratic
1945,Straight,1,100.0,Democratic
1946,Bisexual,0,0,Democratic
1946,Bisexual,1,0,Democratic
1946,Gay,0,5.0,Democratic
1946,Gay,1,0,Democratic
1946,Lesbian,0,0,Democratic
1946,Lesbian,1,0,Democratic
1946,Straight,0,95.0,Democratic
1946,Straight,1,100.0,Democratic
1947,Bisexual,0,5.0,Democratic
1947,Bisexual,1,0,Democratic
1947,Gay,0,5.0,Democratic
1947,Gay,1,0,Democratic
1947,Lesbian,0,0,Democratic
1947,Lesbian,1,0,Democratic
1947,Straight,0,90.0,Democratic
1947,Straight,1,100.0,Democratic
1948,Bisexual,0,0,Democratic
1948,Bisexual,1,0,Democratic
1948,Gay,0,10.0,Democratic
1948,Gay,1,0,Democratic
1948,Lesbian,0,0,Democratic
1948,Lesbian,1,0,Democratic
1948,Straight,0,90.0,Democratic
1948,Straight,1,100.0,Democratic
1949,Bisexual,0,0,Democratic
1949,Bisexual,1,0,Democratic
1949,Gay,0,0,Democratic
1949,Gay,1,0,Democratic
1949,Lesbian,0,0,Democratic
1949,Lesbian,1,0,Democratic
1949,Straight,0,100.0,Democratic
1949,Straight,1,100.0,Democratic
1950,Bisexual,0,0,Democratic
1950,Bisexual,1,0,Democratic
1950,Gay,0,5.0,Democratic
1950,Gay,1,0,Democratic
1950,Lesbian,0,0,Democratic
1950,Lesbian,1,0,Democratic
1950,Straight,0,95.0,Democratic
1950,Straight,1,100.0,Democratic
1951,Bisexual,0,10.0,Democratic
1951,Bisexual,1,0,Democratic
1951,Gay,0,5.0,Democratic
1951,Gay,1,0,Democratic
1951,Lesbian,0,0,Democratic
1951,Lesbian,1,0,Democratic
1951,Straight,0,85.0,Democratic
1951,Straight,1,100.0,Democratic
1952,Bisexual,0,5.0,Democratic
1952,Bisexual,1,0,Democratic
1952,Gay,0,0,Democratic
1952,Gay,1,0,Democratic
1952,Lesbian,0,0,Democratic
1952,Lesbian,1,0,Democratic
1952,Straight,0,95.0,Democratic
1952,Straight,1,100.0,Democratic
1953,Bisexual,0,5.0,Republican
1953,Bisexual,1,0,Republican
1953,Gay,0,10.0,Republican
1953,Gay,1,0,Republican
1953,Lesbian,0,0,Republican
1953,Lesbian,1,0,Republican
1953,Straight,0,85.0,Republican
1953,Straight,1,100.0,Republican
1954,Bisexual,0,0,Republican
1954,Bisexual,1,20.0,Republican
1954,Gay,0,0,Republican
1954,Gay,1,0,Republican
1954,Lesbian,0,0,Republican
1954,Lesbian,1,0,Republican
1954,Straight,0,100.0,Republican
1954,Straight,1,80.0,Republican
1955,Bisexual,0,5.0,Republican
1955,Bisexual,1,0,Republican
1955,Gay,0,0,Republican
1955,Gay,1,0,Republican
1955,Lesbian,0,0,Republican
1955,Lesbian,1,0,Republican
1955,Straight,0,95.0,Republican
1955,Straight,1,100.0,Republican
1956,Bisexual,0,5.0,Republican
1956,Bisexual,1,0,Republican
1956,Gay,0,5.0,Republican
1956,Gay,1,0,Republican
1956,Lesbian,0,0,Republican
1956,Lesbian,1,0,Republican
1956,Straight,0,90.0,Republican
1956,Straight,1,100.0,Republican
1957,Bisexual,0,5.0,Republican
1957,Bisexual,1,0,Republican
1957,Gay,0,0,Republican
1957,Gay,1,0,Republican
1957,Lesbian,0,0,Republican
1957,Lesbian,1,0,Republican
1957,Straight,0,95.0,Republican
1957,Straight,1,100.0,Republican
1958,Bisexual,0,0,Republican
1958,Bisexual,1,20.0,Republican
1958,Gay,0,0,Republican
1958,Gay,1,0,Republican
1958,Lesbian,0,0,Republican
1958,Lesbian,1,0,Republican
1958,Straight,0,100.0,Republican
1958,Straight,1,80.0,Republican
1959,Bisexual,0,0,Republican
1959,Bisexual,1,0,Republican
1959,Gay,0,0,Republican
1959,Gay,1,0,Republican
1959,Lesbian,0,0,Republican
1959,Lesbian,1,0,Republican
1959,Straight,0,100.0,Republican
1959,Straight,1,100.0,Republican
1960,Bisexual,0,5.0,Republican
1960,Bisexual,1,0,Republican
1960,Gay,0,0,Republican
1960,Gay,1,0,Republican
1960,Lesbian,0,0,Republican
1960,Lesbian,1,0,Republican
1960,Straight,0,95.0,Republican
1960,Straight,1,100.0,Republican
1961,Bisexual,0,0,Democratic
1961,Bisexual,1,0,Democratic
1961,Gay,0,5.0,Democratic
1961,Gay,1,20.0,Democratic
1961,Lesbian,0,0,Democratic
1961,Lesbian,1,0,Democratic
1961,Straight,0,95.0,Democratic
1961,Straight,1,80.0,Democratic
1962,Bisexual,0,0,Democratic
1962,Bisexual,1,0,Democratic
1962,Gay,0,5.0,Democratic
1962,Gay,1,0,Democratic
1962,Lesbian,0,0,Democratic
1962,Lesbian,1,0,Democratic
1962,Straight,0,95.0,Democratic
1962,Straight,1,100.0,Democratic
1963,Bisexual,0,0,Democratic
1963,Bisexual,1,20.0,Democratic
1963,Gay,0,0,Democratic
1963,Gay,1,0,Democratic
1963,Lesbian,0,0,Democratic
1963,Lesbian,1,0,Democratic
1963,Straight,0,100.0,Democratic
1963,Straight,1,80.0,Democratic
1964,Bisexual,0,0,Democratic
1964,Bisexual,1,0,Democratic
1964,Gay,0,10.0,Democratic
1964,Gay,1,20.0,Democratic
1964,Lesbian,0,0,Democratic
1964,Lesbian,1,0,Democratic
1964,Straight,0,90.0,Democratic
1964,Straight,1,80.0,Democratic
1965,Bisexual,0,0,Democratic
1965,Bisexual,1,0,Democratic
1965,Gay,0,5.0,Democratic
1965,Gay,1,0,Democratic
1965,Lesbian,0,0,Democratic
1965,Lesbian,1,0,Democratic
1965,Straight,0,95.0,Democratic
1965,Straight,1,100.0,Democratic
1966,Bisexual,0,0,Democratic
1966,Bisexual,1,20.0,Democratic
1966,Gay,0,0,Democratic
1966,Gay,1,0,Democratic
1966,Lesbian,0,0,Democratic
1966,Lesbian,1,0,Democratic
1966,Straight,0,100.0,Democratic
1966,Straight,1,80.0,Democratic
1967,Bisexual,0,0,Democratic
1967,Bisexual,1,0,Democratic
1967,Gay,0,0,Democratic
1967,Gay,1,0,Democratic
1967,Lesbian,0,0,Democratic
1967,Lesbian,1,0,Democratic
1967,Straight,0,100.0,Democratic
1967,Straight,1,100.0,Democratic
1968,Bisexual,0,5.0,Democratic
1968,Bisexual,1,0,Democratic
1968,Gay,0,5.0,Democratic
1968,Gay,1,0,Democratic
1968,Lesbian,0,0,Democratic
1968,Lesbian,1,0,Democratic
1968,Straight,0,90.0,Democratic
1968,Straight,1,100.0,Democratic
1969,Bisexual,0,0,Republican
1969,Bisexual,1,0,Republican
1969,Gay,0,0,Republican
1969,Gay,1,20.0,Republican
1969,Lesbian,0,0,Republican
1969,Lesbian,1,0,Republican
1969,Straight,0,100.0,Republican
1969,Straight,1,80.0,Republican
1970,Bisexual,0,0,Republican
1970,Bisexual,1,0,Republican
1970,Gay,0,0,Republican
1970,Gay,1,0,Republican
1970,Lesbian,0,0,Republican
1970,Lesbian,1,0,Republican
1970,Straight,0,100.0,Republican
1970,Straight,1,100.0,Republican
1971,Bisexual,0,0,Republican
1971,Bisexual,1,0,Republican
1971,Gay,0,10.0,Republican
1971,Gay,1,0,Republican
1971,Lesbian,0,0,Republican
1971,Lesbian,1,0,Republican
1971,Straight,0,90.0,Republican
1971,Straight,1,100.0,Republican
1972,Bisexual,0,0,Republican
1972,Bisexual,1,20.0,Republican
1972,Gay,0,5.0,Republican
1972,Gay,1,20.0,Republican
1972,Lesbian,0,0,Republican
1972,Lesbian,1,0,Republican
1972,Straight,0,95.0,Republican
1972,Straight,1,60.0,Republican
1973,Bisexual,0,5.0,Republican
1973,Bisexual,1,20.0,Republican
1973,Gay,0,5.0,Republican
1973,Gay,1,0,Republican
1973,Lesbian,0,0,Republican
1973,Lesbian,1,0,Republican
1973,Straight,0,90.0,Republican
1973,Straight,1,80.0,Republican
1974,Bisexual,0,0,Republican
1974,Bisexual,1,0,Republican
1974,Gay,0,0,Republican
1974,Gay,1,0,Republican
1974,Lesbian,0,0,Republican
1974,Lesbian,1,0,Republican
1974,Straight,0,100.0,Republican
1974,Straight,1,100.0,Republican
1975,Bisexual,0,0,Republican
1975,Bisexual,1,0,Republican
1975,Gay,0,0,Republican
1975,Gay,1,0,Republican
1975,Lesbian,0,5.0,Republican
1975,Lesbian,1,0,Republican
1975,Straight,0,95.0,Republican
1975,Straight,1,100.0,Republican
1976,Bisexual,0,0,Republican
1976,Bisexual,1,0,Republican
1976,Gay,0,0,Republican
1976,Gay,1,0,Republican
1976,Lesbian,0,5.0,Republican
1976,Lesbian,1,0,Republican
1976,Straight,0,95.0,Republican
1976,Straight,1,100.0,Republican
1977,Bisexual,0,0,Democratic
1977,Bisexual,1,0,Democratic
1977,Gay,0,0,Democratic
1977,Gay,1,0,Democratic
1977,Lesbian,0,0,Democratic
1977,Lesbian,1,0,Democratic
1977,Straight,0,100.0,Democratic
1977,Straight,1,100.0,Democratic
1978,Bisexual,0,0,Democratic
1978,Bisexual,1,0,Democratic
1978,Gay,0,0,Democratic
1978,Gay,1,0,Democratic
1978,Lesbian,0,0,Democratic
1978,Lesbian,1,0,Democratic
1978,Straight,0,100.0,Democratic
1978,Straight,1,100.0,Democratic
1979,Bisexual,0,0,Democratic
1979,Bisexual,1,0,Democratic
1979,Gay,0,0,Democratic
1979,Gay,1,0,Democratic
1979,Lesbian,0,0,Democratic
1979,Lesbian,1,0,Democratic
1979,Straight,0,100.0,Democratic
1979,Straight,1,100.0,Democratic
1980,Bisexual,0,0,Democratic
1980,Bisexual,1,0,Democratic
1980,Gay,0,0,Democratic
1980,Gay,1,0,Democratic
1980,Lesbian,0,5.0,Democratic
1980,Lesbian,1,0,Democratic
1980,Straight,0,95.0,Democratic
1980,Straight,1,100.0,Democratic
1981,Bisexual,0,0,Republican
1981,Bisexual,1,0,Republican
1981,Gay,0,5.0,Republican
1981,Gay,1,20.0,Republican
1981,Lesbian,0,0,Republican
1981,Lesbian,1,0,Republican
1981,Straight,0,95.0,Republican
1981,Straight,1,80.0,Republican
1982,Bisexual,0,0,Republican
1982,Bisexual,1,0,Republican
1982,Gay,0,0,Republican
1982,Gay,1,0,Republican
1982,Lesbian,0,0,Republican
1982,Lesbian,1,0,Republican
1982,Straight,0,100.0,Republican
1982,Straight,1,100.0,Republican
1983,Bisexual,0,0,Republican
1983,Bisexual,1,0,Republican
1983,Gay,0,0,Republican
1983,Gay,1,0,Republican
1983,Lesbian,0,0,Republican
1983,Lesbian,1,20.0,Republican
1983,Straight,0,100.0,Republican
1983,Straight,1,80.0,Republican
1984,Bisexual,0,0,Republican
1984,Bisexual,1,0,Republican
1984,Gay,0,5.0,Republican
1984,Gay,1,0,Republican
1984,Lesbian,0,0,Republican
1984,Lesbian,1,0,Republican
1984,Straight,0,95.0,Republican
1984,Straight,1,100.0,Republican
1985,Bisexual,0,0,Republican
1985,Bisexual,1,0,Republican
1985,Gay,0,0,Republican
1985,Gay,1,0,Republican
1985,Lesbian,0,0,Republican
1985,Lesbian,1,0,Republican
1985,Straight,0,100.0,Republican
1985,Straight,1,100.0,Republican
1986,Bisexual,0,5.0,Republican
1986,Bisexual,1,0,Republican
1986,Gay,0,5.0,Republican
1986,Gay,1,0,Republican
1986,Lesbian,0,0,Republican
1986,Lesbian,1,0,Republican
1986,Straight,0,90.0,Republican
1986,Straight,1,100.0,Republican
1987,Bisexual,0,0,Republican
1987,Bisexual,1,0,Republican
1987,Gay,0,0,Republican
1987,Gay,1,0,Republican
1987,Lesbian,0,0,Republican
1987,Lesbian,1,0,Republican
1987,Straight,0,100.0,Republican
1987,Straight,1,100.0,Republican
1988,Bisexual,0,0,Republican
1988,Bisexual,1,0,Republican
1988,Gay,0,0,Republican
1988,Gay,1,0,Republican
1988,Lesbian,0,0,Republican
1988,Lesbian,1,20.0,Republican
1988,Straight,0,100.0,Republican
1988,Straight,1,80.0,Republican
1989,Bisexual,0,5.0,Republican
1989,Bisexual,1,0,Republican
1989,Gay,0,0,Republican
1989,Gay,1,0,Republican
1989,Lesbian,0,0,Republican
1989,Lesbian,1,0,Republican
1989,Straight,0,95.0,Republican
1989,Straight,1,100.0,Republican
1990,Bisexual,0,0,Republican
1990,Bisexual,1,0,Republican
1990,Gay,0,0,Republican
1990,Gay,1,0,Republican
1990,Lesbian,0,0,Republican
1990,Lesbian,1,0,Republican
1990,Straight,0,100.0,Republican
1990,Straight,1,100.0,Republican
1991,Bisexual,0,0,Republican
1991,Bisexual,1,0,Republican
1991,Gay,0,0,Republican
1991,Gay,1,0,Republican
1991,Lesbian,0,0,Republican
1991,Lesbian,1,20.0,Republican
1991,Straight,0,100.0,Republican
1991,Straight,1,80.0,Republican
1992,Bisexual,0,0,Republican
1992,Bisexual,1,0,Republican
1992,Gay,0,10.0,Republican
1992,Gay,1,0,Republican
1992,Lesbian,0,0,Republican
1992,Lesbian,1,0,Republican
1992,Straight,0,90.0,Republican
1992,Straight,1,100.0,Republican
1993,Bisexual,0,0,Democratic
1993,Bisexual,1,20.0,Democratic
1993,Gay,0,5.0,Democratic
1993,Gay,1,0,Democratic
1993,Lesbian,0,0,Democratic
1993,Lesbian,1,0,Democratic
1993,Straight,0,95.0,Democratic
1993,Straight,1,80.0,Democratic
1994,Bisexual,0,0,Democratic
1994,Bisexual,1,0,Democratic
1994,Gay,0,5.0,Democratic
1994,Gay,1,0,Democratic
1994,Lesbian,0,5.0,Democratic
1994,Lesbian,1,0,Democratic
1994,Straight,0,90.0,Democratic
1994,Straight,1,100.0,Democratic
1995,Bisexual,0,0,Democratic
1995,Bisexual,1,0,Democratic
1995,Gay,0,0,Democratic
1995,Gay,1,20.0,Democratic
1995,Lesbian,0,0,Democratic
1995,Lesbian,1,0,Democratic
1995,Straight,0,100.0,Democratic
1995,Straight,1,80.0,Democratic
1996,Bisexual,0,0,Democratic
1996,Bisexual,1,0,Democratic
1996,Gay,0,0,Democratic
1996,Gay,1,0,Democratic
1996,Lesbian,0,0,Democratic
1996,Lesbian,1,0,Democratic
1996,Straight,0,100.0,Democratic
1996,Straight,1,100.0,Democratic
1997,Bisexual,0,0,Democratic
1997,Bisexual,1,0,Democratic
1997,Gay,0,5.0,Democratic
1997,Gay,1,0,Democratic
1997,Lesbian,0,0,Democratic
1997,Lesbian,1,0,Democratic
1997,Straight,0,95.0,Democratic
1997,Straight,1,100.0,Democratic
1998,Bisexual,0,0,Democratic
1998,Bisexual,1,0,Democratic
1998,Gay,0,5.0,Democratic
1998,Gay,1,0,Democratic
1998,Lesbian,0,0,Democratic
1998,Lesbian,1,0,Democratic
1998,Straight,0,95.0,Democratic
1998,Straight,1,100.0,Democratic
1999,Bisexual,0,0,Democratic
1999,Bisexual,1,20.0,Democratic
1999,Gay,0,0,Democratic
1999,Gay,1,20.0,Democratic
1999,Lesbian,0,0,Democratic
1999,Lesbian,1,0,Democratic
1999,Straight,0,100.0,Democratic
1999,Straight,1,60.0,Democratic
2000,Bisexual,0,0,Democratic
2000,Bisexual,1,0,Democratic
2000,Gay,0,5.0,Democratic
2000,Gay,1,0,Democratic
2000,Lesbian,0,0,Democratic
2000,Lesbian,1,0,Democratic
2000,Straight,0,95.0,Democratic
2000,Straight,1,100.0,Democratic
2001,Bisexual,0,0,Republican
2001,Bisexual,1,0,Republican
2001,Gay,0,5.0,Republican
2001,Gay,1,0,Republican
2001,Lesbian,0,0,Republican
2001,Lesbian,1,0,Republican
2001,Straight,0,95.0,Republican
2001,Straight,1,100.0,Republican
2002,Bisexual,0,0,Republican
2002,Bisexual,1,0,Republican
2002,Gay,0,15.0,Republican
2002,Gay,1,0,Republican
2002,Lesbian,0,0,Republican
2002,Lesbian,1,0,Republican
2002,Straight,0,85.0,Republican
2002,Straight,1,100.0,Republican
2003,Bisexual,0,0,Republican
2003,Bisexual,1,0,Republican
2003,Gay,0,0,Republican
2003,Gay,1,0,Republican
2003,Lesbian,0,0,Republican
2003,Lesbian,1,0,Republican
2003,Straight,0,100.0,Republican
2003,Straight,1,100.0,Republican
2004,Bisexual,0,0,Republican
2004,Bisexual,1,0,Republican
2004,Gay,0,0,Republican
2004,Gay,1,0,Republican
2004,Lesbian,0,0,Republican
2004,Lesbian,1,0,Republican
2004,Straight,0,100.0,Republican
2004,Straight,1,100.0,Republican
2005,Bisexual,0,0,Republican
2005,Bisexual,1,0,Republican
2005,Gay,0,0,Republican
2005,Gay,1,0,Republican
2005,Lesbian,0,0,Republican
2005,Lesbian,1,0,Republican
2005,Straight,0,100.0,Republican
2005,Straight,1,100.0,Republican
2006,Bisexual,0,0,Republican
2006,Bisexual,1,0,Republican
2006,Gay,0,0,Republican
2006,Gay,1,0,Republican
2006,Lesbian,0,0,Republican
2006,Lesbian,1,0,Republican
2006,Straight,0,100.0,Republican
2006,Straight,1,100.0,Republican
2007,Bisexual,0,0,Republican
2007,Bisexual,1,0,Republican
2007,Gay,0,0,Republican
2007,Gay,1,0,Republican
2007,Lesbian,0,5.0,Republican
2007,Lesbian,1,0,Republican
2007,Straight,0,95.0,Republican
2007,Straight,1,100.0,Republican
2008,Bisexual,0,5.0,Republican
2008,Bisexual,1,0,Republican
2008,Gay,0,10.0,Republican
2008,Gay,1,0,Republican
2008,Lesbian,0,0,Republican
2008,Lesbian,1,0,Republican
2008,Straight,0,85.0,Republican
2008,Straight,1,100.0,Republican
2009,Bisexual,0,0,Democratic
2009,Bisexual,1,0,Democratic
2009,Gay,0,5.0,Democratic
2009,Gay,1,0,Democratic
2009,Lesbian,0,0,Democratic
2009,Lesbian,1,0,Democratic
2009,Straight,0,95.0,Democratic
2009,Straight,1,100.0,Democratic
2010,Bisexual,0,0,Democratic
2010,Bisexual,1,0,Democratic
2010,Gay,0,0,Democratic
2010,Gay,1,0,Democratic
2010,Lesbian,0,0,Democratic
2010,Lesbian,1,0,Democratic
2010,Straight,0,100.0,Democratic
2010,Straight,1,100.0,Democratic
2011,Bisexual,0,0,Democratic
2011,Bisexual,1,0,Democratic
2011,Gay,0,0,Democratic
2011,Gay,1,0,Democratic
2011,Lesbian,0,0,Democratic
2011,Lesbian,1,0,Democratic
2011,Straight,0,100.0,Democratic
2011,Straight,1,100.0,Democratic
2012,Bisexual,0,0,Democratic
2012,Bisexual,1,0,Democratic
2012,Gay,0,0,Democratic
2012,Gay,1,0,Democratic
2012,Lesbian,0,0,Democratic
2012,Lesbian,1,0,Democratic
2012,Straight,0,100.0,Democratic
2012,Straight,1,100.0,Democratic
2013,Bisexual,0,0,Democratic
2013,Bisexual,1,0,Democratic
2013,Gay,0,0,Democratic
2013,Gay,1,0,Democratic
2013,Lesbian,0,0,Democratic
2013,Lesbian,1,0,Democratic
2013,Straight,0,100.0,Democratic
2013,Straight,1,100.0,Democratic
2014,Bisexual,0,0,Democratic
2014,Bisexual,1,0,Democratic
2014,Gay,0,0,Democratic
2014,Gay,1,0,Democratic
2014,Lesbian,0,0,Democratic
2014,Lesbian,1,0,Democratic
2014,Straight,0,100.0,Democratic
2014,Straight,1,100.0,Democratic
2015,Bisexual,0,0,Democratic
2015,Bisexual,1,0,Democratic
2015,Gay,0,0,Democratic
2015,Gay,1,0,Democratic
2015,Lesbian,0,0,Democratic
2015,Lesbian,1,0,Democratic
2015,Straight,0,100.0,Democratic
2015,Straight,1,100.0,Democratic
