"Academy Award for Best Production Design","Academy Award for Best Production Design","Academy Award for Best Production Design","Academy Award for Best Production Design","Academy Award for Best Production Design","Academy Award for Best Production Design"
"1956","Samuel M. Comer","The Proud and Profane","Nominated","",""
"1956","Samuel M. Comer","The Ten Commandments","Nominated","",""
"1956","Ross J. Dowd","Around the World in 80 Days","Nominated","",""
"1956","Paul S. Fox","The King and I","Won","",""
"1956","F. Keogh Gleason","Lust for Life","Nominated","",""
"1956","F. Keogh Gleason","Somebody Up There Likes Me","Won","",""
"1956","Edwin B. Willis","Lust for Life","Nominated","",""
"1956","Edwin B. Willis","Somebody Up There Likes Me","Won","",""
"1957","Samuel M. Comer","Funny Face","Nominated","",""
"1957","Richard Pefferle","Les Girls","Nominated","",""
"1957","Edwin B. Willis","Les Girls","Nominated","",""
"1957","Edwin B. Willis","Raintree County","Nominated","",""
"1958","Samuel M. Comer","Vertigo","Nominated","",""
"1958","Paul S. Fox","A Certain Smile","Nominated","",""
"1958","F. Keogh Gleason","Gigi","Won","",""
"1958","Henry Grace","Gigi","Won","",""
"1958","George James Hopkins","Auntie Mame","Nominated","",""
"1959","Paul S. Fox","Career","Nominated","",""
"1959","Henry Grace","North by Northwest","Nominated","",""
"1959","Arthur Krams","Career","Nominated","",""
"1959","Oliver Messel","Suddenly, Last Summer","Nominated","",""
"1960","Samuel M. Comer","It Started in Naples","Nominated","",""
"1960","Samuel M. Comer","Visit to a Small Planet","Nominated","",""
"1960","Ross J. Dowd","The Facts of Life","Nominated","",""
"1960","Henry Grace","Cimarron","Nominated","",""
"1960","George James Hopkins","Sunrise at Campobello","Nominated","",""
"1960","Arthur Krams","Visit to a Small Planet","Nominated","",""
"1961","Howard Bristol","Flower Drum Song","Nominated","",""
"1961","Samuel M. Comer","Breakfast at Tiffany's","Nominated","",""
"1961","Samuel M. Comer","Summer and Smoke","Nominated","",""
"1961","Piero Gherardi","La Dolce Vita","Nominated","",""
"1961","Arthur Krams","Summer and Smoke","Nominated","",""
"1962","Samuel M. Comer","The Pigeon That Took Rome","Nominated","",""
"1962","Henry Grace","Mutiny on the Bounty","Nominated","",""
"1962","Henry Grace","Period of Adjustment","Nominated","",""
"1962","Henry Grace","The Wonderful World of the Brothers Grimm","Nominated","",""
"1962","George James Hopkins","Days of Wine and Roses","Nominated","",""
"1962","George James Hopkins","The Music Man","Nominated","",""
"1963","Samuel M. Comer","Come Blow Your Horn","Nominated","",""
"1963","Samuel M. Comer","Hud","Nominated","",""
"1963","Samuel M. Comer","Love with the Proper Stranger","Nominated","",""
"1963","Paul S. Fox","Cleopatra","Won","",""
"1963","Piero Gherardi","8½","Nominated","",""
"1963","Henry Grace","How the West Was Won","Nominated","",""
"1963","Henry Grace","Twilight of Honor","Nominated","",""
"1964","Cecil Beaton","My Fair Lady","Won","",""
"1964","Henry Grace","The Americanization of Emily","Nominated","",""
"1964","Henry Grace","The Unsinkable Molly Brown","Nominated","",""
"1964","George James Hopkins","My Fair Lady","Won","",""
"1965","Henry Grace","A Patch of Blue","Nominated","",""
"1965","George James Hopkins","Inside Daisy Clover","Nominated","",""
"1966","Piero Gherardi","Juliet of the Spirits","Nominated","",""
"1966","Henry Grace","Mister Buddwing","Nominated","",""
"1966","George James Hopkins","Who's Afraid of Virginia Woolf?","Won","",""
"1967","Howard Bristol","Thoroughly Modern Millie","Nominated","",""
"1968","Howard Bristol","Star!","Nominated","",""
"1969","George James Hopkins","Hello, Dolly!","Won","",""
"1969","Jack D. Moore","Sweet Charity","Nominated","",""
"1970","Samuel M. Comer","Tora! Tora! Tora!","Nominated","",""
"1970","Arthur Krams","Tora! Tora! Tora!","Nominated","",""
"1970","Jack D. Moore","Airport","Nominated","",""
"1982","Franco Zeffirelli","La Traviata","Nominated","",""
"1987","Ferdinando Scarfiotti","The Last Emperor","Won","",""
"1992","Ferdinando Scarfiotti","Toys","Nominated","",""
