aux,percentage_race_win_nom,political_party,race_ethnicity,winner,year
84,5.0,Democratic,Asian,0,1962
85,95.0,Democratic,White,0,1962
86,100.0,Democratic,White,1,1962
49,96.0,Democratic,White,2,1962
48,4.0,Democratic,Asian,2,1962
50,4.0,Democratic,Black,2,1963
87,20.0,Democratic,Black,1,1963
88,100.0,Democratic,White,0,1963
89,80.0,Democratic,White,1,1963
51,96.0,Democratic,White,2,1963
92,100.0,Democratic,White,1,1964
52,4.0,Democratic,Hispanic,2,1964
53,96.0,Democratic,White,2,1964
90,5.0,Democratic,Hispanic,0,1964
91,95.0,Democratic,White,0,1964
54,4.0,Democratic,Asian,2,1965
55,96.0,Democratic,White,2,1965
93,5.0,Democratic,Asian,0,1965
95,100.0,Democratic,White,1,1965
94,95.0,Democratic,White,0,1965
99,100.0,Democratic,White,1,1966
98,90.0,Democratic,White,0,1966
96,10.0,Democratic,Asian,0,1966
58,92.0,Democratic,White,2,1966
56,8.0,Democratic,Asian,2,1966
102,100.0,Democratic,White,1,1967
101,90.0,Democratic,White,0,1967
100,10.0,Democratic,Black,0,1967
60,92.0,Democratic,White,2,1967
59,8.0,Democratic,Black,2,1967
103,100.0,Democratic,White,0,1968
104,100.0,Democratic,White,1,1968
61,100.0,Democratic,White,2,1968
62,4.0,Republican,Black,2,1969
107,100.0,Republican,White,1,1969
106,95.0,Republican,White,0,1969
105,5.0,Republican,Black,0,1969
63,96.0,Republican,White,2,1969
111,100.0,Republican,White,1,1970
108,5.56,Republican,Black,0,1970
66,91.112,Republican,White,2,1970
65,4.4479999999999995,Republican,Asian,2,1970
64,4.4479999999999995,Republican,Black,2,1970
110,88.89,Republican,White,0,1970
109,5.56,Republican,Asian,0,1970
112,100.0,Republican,White,0,1971
67,100.0,Republican,White,2,1971
113,100.0,Republican,White,1,1971
114,15.0,Republican,Black,0,1972
115,85.0,Republican,White,0,1972
116,100.0,Republican,White,1,1972
69,88.0,Republican,White,2,1972
68,12.0,Republican,Black,2,1972
70,100.0,Republican,White,2,1973
118,100.0,Republican,White,1,1973
117,100.0,Republican,White,0,1973
120,95.0,Republican,White,0,1974
72,96.0,Republican,White,2,1974
71,4.0,Republican,Black,2,1974
121,100.0,Republican,White,1,1974
119,5.0,Republican,Black,0,1974
123,95.0,Republican,White,0,1975
122,5.0,Republican,Asian,0,1975
124,100.0,Republican,White,1,1975
73,4.0,Republican,Asian,2,1975
74,96.0,Republican,White,2,1975
75,100.0,Democratic,White,2,1976
125,100.0,Democratic,White,0,1976
126,100.0,Democratic,White,1,1976
128,100.0,Democratic,White,1,1977
76,100.0,Democratic,White,2,1977
127,100.0,Democratic,White,0,1977
130,100.0,Democratic,White,1,1978
129,100.0,Democratic,White,0,1978
77,100.0,Democratic,White,2,1978
131,100.0,Democratic,White,0,1979
78,100.0,Democratic,White,2,1979
132,100.0,Democratic,White,1,1979
134,100.0,Democratic,White,1,1980
133,100.0,Democratic,White,0,1980
79,100.0,Democratic,White,2,1980
81,96.0,Republican,White,2,1981
80,4.0,Republican,Black,2,1981
137,100.0,Republican,White,1,1981
136,95.0,Republican,White,0,1981
135,5.0,Republican,Black,0,1981
84,92.0,Republican,White,2,1982
83,4.0,Republican,Black,2,1982
82,4.0,Republican,Asian,2,1982
141,60.0,Republican,White,1,1982
140,100.0,Republican,White,0,1982
139,20.0,Republican,Black,1,1982
138,20.0,Republican,Asian,1,1982
142,5.0,Republican,Black,0,1983
144,100.0,Republican,White,1,1983
86,96.0,Republican,White,2,1983
85,4.0,Republican,Black,2,1983
143,95.0,Republican,White,0,1983
145,5.0,Republican,Asian,0,1984
146,20.0,Republican,Asian,1,1984
147,5.0,Republican,Black,0,1984
148,90.0,Republican,White,0,1984
149,80.0,Republican,White,1,1984
89,88.0,Republican,White,2,1984
88,4.0,Republican,Black,2,1984
87,8.0,Republican,Asian,2,1984
92,4.0,Republican,Hispanic,2,1985
93,76.0,Republican,White,2,1985
91,12.0,Republican,Black,2,1985
151,15.0,Republican,Black,0,1985
150,10.0,Republican,Asian,0,1985
90,8.0,Republican,Asian,2,1985
152,5.0,Republican,Hispanic,0,1985
153,70.0,Republican,White,0,1985
154,100.0,Republican,White,1,1985
95,96.0,Republican,White,2,1986
94,4.0,Republican,Black,2,1986
155,5.0,Republican,Black,0,1986
156,95.0,Republican,White,0,1986
157,100.0,Republican,White,1,1986
159,5.0,Republican,Hispanic,0,1987
160,85.0,Republican,White,0,1987
161,100.0,Republican,White,1,1987
96,8.0,Republican,Black,2,1987
97,4.0,Republican,Hispanic,2,1987
98,88.0,Republican,White,2,1987
158,10.0,Republican,Black,0,1987
100,96.0,Republican,White,2,1988
163,95.0,Republican,White,0,1988
162,5.0,Republican,Black,0,1988
99,4.0,Republican,Black,2,1988
164,100.0,Republican,White,1,1988
166,5.0,Republican,Black,0,1989
167,20.0,Republican,Black,1,1989
168,90.0,Republican,White,0,1989
169,80.0,Republican,White,1,1989
165,5.0,Republican,Asian,0,1989
103,88.0,Republican,White,2,1989
102,8.0,Republican,Black,2,1989
101,4.0,Republican,Asian,2,1989
170,20.0,Republican,Black,1,1990
106,92.0,Republican,White,2,1990
105,4.0,Republican,Hispanic,2,1990
173,80.0,Republican,White,1,1990
104,4.0,Republican,Black,2,1990
172,95.0,Republican,White,0,1990
171,5.0,Republican,Hispanic,0,1990
174,5.0,Republican,Asian,0,1991
177,100.0,Republican,White,1,1991
175,5.0,Republican,Black,0,1991
176,90.0,Republican,White,0,1991
109,92.0,Republican,White,2,1991
108,4.0,Republican,Black,2,1991
107,4.0,Republican,Asian,2,1991
180,100.0,Republican,White,1,1992
178,10.0,Republican,Black,0,1992
179,90.0,Republican,White,0,1992
110,8.0,Republican,Black,2,1992
111,92.0,Republican,White,2,1992
112,8.0,Democratic,Black,2,1993
113,4.0,Democratic,Hispanic,2,1993
114,88.0,Democratic,White,2,1993
181,10.0,Democratic,Black,0,1993
182,5.0,Democratic,Hispanic,0,1993
183,85.0,Democratic,White,0,1993
184,100.0,Democratic,White,1,1993
185,5.0,Democratic,Asian,0,1994
186,10.0,Democratic,Black,0,1994
187,85.0,Democratic,White,0,1994
188,100.0,Democratic,White,1,1994
116,8.0,Democratic,Black,2,1994
115,4.0,Democratic,Asian,2,1994
117,88.0,Democratic,White,2,1994
118,100.0,Democratic,White,2,1995
189,100.0,Democratic,White,0,1995
190,100.0,Democratic,White,1,1995
120,92.0,Democratic,White,2,1996
119,8.0,Democratic,Black,2,1996
192,20.0,Democratic,Black,1,1996
193,95.0,Democratic,White,0,1996
191,5.0,Democratic,Black,0,1996
194,80.0,Democratic,White,1,1996
195,5.0,Democratic,Asian,0,1997
196,95.0,Democratic,White,0,1997
197,100.0,Democratic,White,1,1997
121,4.0,Democratic,Asian,2,1997
122,96.0,Democratic,White,2,1997
123,4.0,Democratic,Hispanic,2,1998
198,5.0,Democratic,Hispanic,0,1998
199,95.0,Democratic,White,0,1998
200,100.0,Democratic,White,1,1998
124,96.0,Democratic,White,2,1998
127,88.0,Democratic,White,2,1999
126,8.0,Democratic,Black,2,1999
203,85.0,Democratic,White,0,1999
202,10.0,Democratic,Black,0,1999
204,100.0,Democratic,White,1,1999
201,5.0,Democratic,Asian,0,1999
125,4.0,Democratic,Asian,2,1999
129,4.0,Democratic,Hispanic,2,2000
128,4.0,Democratic,Asian,2,2000
130,92.0,Democratic,White,2,2000
206,20.0,Democratic,Hispanic,1,2000
205,5.0,Democratic,Asian,0,2000
207,95.0,Democratic,White,0,2000
208,80.0,Democratic,White,1,2000
133,84.0,Republican,White,2,2001
132,12.0,Republican,Black,2,2001
131,4.0,Republican,Asian,2,2001
209,5.0,Republican,Asian,0,2001
210,5.0,Republican,Black,0,2001
211,40.0,Republican,Black,1,2001
212,90.0,Republican,White,0,2001
213,60.0,Republican,White,1,2001
215,5.0,Republican,Hispanic,0,2002
217,100.0,Republican,White,1,2002
216,90.0,Republican,White,0,2002
134,4.0,Republican,Black,2,2002
135,4.0,Republican,Hispanic,2,2002
136,92.0,Republican,White,2,2002
214,5.0,Republican,Black,0,2002
138,12.0,Republican,Asian,2,2003
141,80.0,Republican,White,2,2003
140,4.0,Republican,Hispanic,2,2003
139,4.0,Republican,Black,2,2003
221,5.0,Republican,Hispanic,0,2003
219,15.0,Republican,Asian,0,2003
220,5.0,Republican,Black,0,2003
222,75.0,Republican,White,0,2003
223,100.0,Republican,White,1,2003
228,60.0,Republican,White,1,2004
227,80.0,Republican,White,0,2004
226,5.0,Republican,Hispanic,0,2004
144,76.0,Republican,White,2,2004
143,4.0,Republican,Hispanic,2,2004
142,20.0,Republican,Black,2,2004
225,40.0,Republican,Black,1,2004
224,15.0,Republican,Black,0,2004
229,20.0,Republican,Asian,1,2005
145,4.0,Republican,Asian,2,2005
146,4.0,Republican,Black,2,2005
147,92.0,Republican,White,2,2005
231,95.0,Republican,White,0,2005
232,80.0,Republican,White,1,2005
230,5.0,Republican,Black,0,2005
151,72.0,Republican,White,2,2006
150,4.0,Republican,Hispanic,2,2006
148,4.0,Republican,Asian,2,2006
233,5.0,Republican,Asian,0,2006
234,15.0,Republican,Black,0,2006
236,5.0,Republican,Hispanic,0,2006
237,75.0,Republican,White,0,2006
238,60.0,Republican,White,1,2006
235,40.0,Republican,Black,1,2006
149,20.0,Republican,Black,2,2006
240,95.0,Republican,White,0,2007
241,100.0,Republican,White,1,2007
152,4.0,Republican,Black,2,2007
153,96.0,Republican,White,2,2007
239,5.0,Republican,Black,0,2007
242,10.0,Republican,Black,0,2008
243,90.0,Republican,White,0,2008
244,100.0,Republican,White,1,2008
154,8.0,Republican,Black,2,2008
155,92.0,Republican,White,2,2008
157,84.0,Democratic,White,2,2009
156,16.0,Democratic,Black,2,2009
247,85.0,Democratic,White,0,2009
246,20.0,Democratic,Black,1,2009
248,80.0,Democratic,White,1,2009
245,15.0,Democratic,Black,0,2009
158,100.0,Democratic,White,2,2010
250,100.0,Democratic,White,1,2010
249,100.0,Democratic,White,0,2010
161,84.0,Democratic,White,2,2011
160,8.0,Democratic,Hispanic,2,2011
254,85.0,Democratic,White,0,2011
159,8.0,Democratic,Black,2,2011
253,10.0,Democratic,Hispanic,0,2011
252,20.0,Democratic,Black,1,2011
255,80.0,Democratic,White,1,2011
251,5.0,Democratic,Black,0,2011
162,4.0,Democratic,Asian,2,2012
163,8.0,Democratic,Black,2,2012
258,90.0,Democratic,White,0,2012
259,80.0,Democratic,White,1,2012
257,10.0,Democratic,Black,0,2012
256,20.0,Democratic,Asian,1,2012
164,88.0,Democratic,White,2,2012
263,80.0,Democratic,White,1,2013
262,90.0,Democratic,White,0,2013
261,20.0,Democratic,Black,1,2013
260,10.0,Democratic,Black,0,2013
166,88.0,Democratic,White,2,2013
165,12.0,Democratic,Black,2,2013
264,100.0,Democratic,White,0,2014
167,100.0,Democratic,White,2,2014
265,100.0,Democratic,White,1,2014
266,100.0,Democratic,White,0,2015
267,100.0,Democratic,White,1,2015
168,100.0,Democratic,White,2,2015
